Fecha,Duración media de la sesión,Búsquedas orgánicas,Rebotes,Salidas,Usuarios nuevos,Sesiones,Valor medio de pedido,Tasa de conversión de comercio electrónico,Número de unidades agregadas al carrito,Valor por sesión,Número de veces que el producto que ha retirado del carrito,Transacciones,Porcentaje compra/detalle,Porcentaje carrito/detalle,Ingresos,CTR de la lista de productos,Clics de la lista de productos,Sesiones con búsquedas,Sesiones con evento,Número de pagos de productos,Páginas/sesión,Cantidad,Compras Redsys,Compras Paypal
20171015,0:02:24,499,286,2436,1235,2455,"33,44 ","1,34 ",267,"0,45 ",115,33,"1,99 ","9,56 ","1.103,46 ","2,68 ",2362,8,2145,217,"3,61",55,"244,44 ","155,56 "
20170904,0:02:33,498,168,1518,856,1531,"40,68 ","2,29 ",227,"0,93 ",47,35,"3,14 ","12,02 ","1.423,96 ","2,35 ",1221,9,1332,234,"3,64",61,"176,92 ","100,00 "
20170914,0:02:24,497,166,1750,1002,1768,"43,80 ","1,36 ",242,"0,59 ",78,24,"2,32 ","12,09 ","1.051,13 ","2,81 ",1654,6,1581,254,"3,74",47,"216,67 ","216,67 "
20170830,0:02:44,492,143,1435,843,1444,"56,57 ","1,39 ",249,"0,78 ",80,20,"2,99 ","13,31 ","1.131,44 ","2,42 ",1231,13,1275,245,"3,73",53,"131,25 ","25,00 "
20170420,0:02:22,490,211,2873,1997,2892,"33,28 ","0,93 ",240,"0,31 ",91,27,"1,96 ","10,14 ","898,46 ","2,62 ",2483,10,2648,177,"3,4",46,"106,67 ","40,00 "
20170905,0:02:21,488,165,1465,855,1477,"34,63 ","1,56 ",194,"0,54 ",63,23,"2,17 ","12,25 ","796,52 ","2,48 ",1042,10,1296,174,"3,31",34,"100,00 ","130,00 "
20171103,0:02:10,488,210,1684,881,1704,"44,72 ","1,58 ",234,"0,71 ",78,27,"2,69 ","13,10 ","1.207,51 ","2,29 ",1230,9,1465,247,"3,38",46,"180,00 ","70,00 "
20171204,0:02:06,487,200,1347,774,1355,"37,77 ","1,03 ",122,"0,39 ",43,14,"1,87 ","8,72 ","528,81 ","2,26 ",815,2,1125,221,"3,04",27,"350,00 ","200,00 "
20170924,0:02:16,486,216,2108,1061,2125,"28,78 ","0,75 ",253,"0,22 ",101,16,"0,98 ","11,04 ","460,48 ","2,23 ",1747,8,1884,128,"3,51",22,"144,44 ","55,56 "
20170405,0:02:16,484,266,2487,1690,2505,"28,83 ","1,04 ",229,"0,30 ",102,26,"1,89 ","10,48 ","749,56 ","3,08 ",2333,4,2210,186,"3,59",40,"340,00 ","180,00 "
20170510,0:02:43,484,184,1769,1000,1781,"33,05 ","1,29 ",197,"0,43 ",81,23,"1,92 ","10,85 ","760,12 ","3,40 ",1907,11,1571,136,"3,93",34,"78,57 ","21,43 "
20170911,0:02:46,482,171,1720,954,1731,"39,03 ","2,25 ",258,"0,88 ",81,39,"3,39 ","12,11 ","1.522,36 ","2,50 ",1550,7,1537,320,"4,01",72,"237,50 ","175,00 "
20170913,0:02:37,482,172,2297,1435,2306,"30,70 ","1,30 ",283,"0,40 ",105,30,"1,43 ","10,33 ","921,07 ","3,22 ",2592,8,2109,190,"3,94",38,"227,27 ","72,73 "
