Dates,Clics,Ctr,Impressions,Bounces,Cr,Transactions,Av.session duration,Revenue,Ctr products list,Cart/details rate,Purchase / details rate,refunds,Exits ,New sessions,Av product price,Clics product list,Num.of products added to cart,Session value,Products list Ctr,Rpc,Session inclueded searches,Page/session,Av.number of product sold per transaction,Num.of times product included in a cart during the purchase process,Sessions
20180208,"177(0,08 %)","1,80 %","9.836(0,06 %)","11,84 %","0,82 %","11(0,07 %)",0:02:18,"388,95 €(0,08 %)","2,26 %","12,31 %","1,45 %","0(0,00 %)","30,18 %","50,90 %","17,91 €","1.088(0,14 %)","161(0,14 %)","0,29 €","2,26 %","2,20 €","0,00 %","3,29","1,11","169(0,18 %)","1.334(0,13 %)"
20180207,"176(0,08 %)","2,09 %","8.416(0,05 %)","15,43 %","0,80 %","6(0,04 %)",0:02:27,"143,80 €(0,03 %)","1,92 %","12,29 %","0,86 %","0(0,00 %)","31,95 %","68,35 %","23,61 €","383(0,05 %)","86(0,08 %)","0,19 €","1,92 %","0,82 €","1,46 %","3,11",1,"88(0,09 %)","752(0,07 %)"
20180206,"368(0,17 %)","1,37 %","26.942(0,17 %)","14,66 %","0,98 %","13(0,09 %)",0:01:57,"298,96 €(0,06 %)","1,69 %","17,77 %","2,39 %","0(0,00 %)","32,63 %","56,02 %","13,25 €","689(0,09 %)","195(0,18 %)","0,22 €","1,69 %","0,81 €","0,45 %","3,04",1,"94(0,10 %)","1.330(0,13 %)"
20180205,"421(0,20 %)","1,10 %","38.180(0,24 %)","16,73 %","0,78 %","13(0,09 %)",0:02:00,"542,09 €(0,11 %)","2,29 %","15,15 %","1,33 %","0(0,00 %)","30,49 %","50,78 %","27,48 €","1.205(0,16 %)","251(0,23 %)","0,32 €","2,29 %","1,29 €","0,54 %","3,26",1,"188(0,20 %)","1.674(0,16 %)"
20180204,"366(0,17 %)","1,00 %","36.685(0,23 %)","12,22 %","1,34 %","21(0,14 %)",0:02:22,"910,68 €(0,18 %)","2,27 %","19,12 %","2,78 %","0(0,00 %)","27,41 %","46,00 %","24,12 €","1.274(0,16 %)","321(0,29 %)","0,58 €","2,27 %","2,49 €","0,13 %","3,62",1,"300(0,32 %)","1.563(0,15 %)"
20180203,"307(0,14 %)","0,90 %","34.099(0,21 %)","16,59 %","0,71 %","6(0,04 %)",0:01:33,"322,86 €(0,06 %)","1,87 %","12,64 %","1,58 %","0(0,00 %)","36,71 %","42,35 %","34,40 €","433(0,06 %)","92(0,08 %)","0,38 €","1,87 %","1,05 €","0,00 %","2,7",1,"86(0,09 %)","850(0,08 %)"
20180202,"364(0,17 %)","1,01 %","36.079(0,23 %)","13,81 %","0,83 %","9(0,06 %)",0:02:27,"335,38 €(0,07 %)","2,32 %","9,55 %","1,42 %","0(0,00 %)","29,36 %","46,13 %","25,96 €","773(0,10 %)","101(0,09 %)","0,31 €","2,32 %","0,92 €","0,37 %","3,37",1,"86(0,09 %)","1.086(0,10 %)"
20180201,"194(0,09 %)","1,18 %","16.490(0,10 %)","12,32 %","0,69 %","11(0,07 %)",0:02:34,"378,36 €(0,08 %)","2,06 %","18,63 %","1,03 %","0(0,00 %)","27,70 %","47,28 %","23,85 €","1.280(0,17 %)","325(0,29 %)","0,24 €","2,06 %","1,95 €","0,56 %","3,55","1,12","280(0,30 %)","1.599(0,15 %)"
20180131,"290(0,14 %)","1,41 %","20.621(0,13 %)","14,71 %","2,09 %","21(0,14 %)",0:02:04,"754,59 €(0,15 %)","2,29 %","11,34 %","3,51 %","0(0,00 %)","31,69 %","53,68 %","14,81 €","608(0,08 %)","146(0,13 %)","0,75 €","2,29 %","2,60 €","0,40 %","3,14","1,31","113(0,12 %)","1.006(0,10 %)"
20180130,"344(0,16 %)","1,64 %","21.006(0,13 %)","13,22 %","1,05 %","15(0,10 %)",0:02:01,"487,96 €(0,10 %)","1,94 %","10,13 %","2,01 %","0(0,00 %)","32,21 %","55,56 %","17,35 €","901(0,12 %)","141(0,13 %)","0,34 €","1,94 %","1,42 €","0,91 %","3,07",1,"128(0,14 %)","1.422(0,14 %)"
20180129,"274(0,13 %)","1,32 %","20.801(0,13 %)","10,64 %","1,68 %","21(0,14 %)",0:02:22,"637,11 €(0,13 %)","2,65 %","11,92 %","2,07 %","0(0,00 %)","27,84 %","53,92 %","18,36 €","1.190(0,15 %)","191(0,17 %)","0,51 €","2,65 %","2,33 €","0,72 %","3,58","1,06","188(0,20 %)","1.250(0,12 %)"
20180128,"266(0,13 %)","1,29 %","20.622(0,13 %)","13,45 %","1,81 %","21(0,14 %)",0:02:05,"549,22 €(0,11 %)","2,38 %","9,84 %","2,19 %","0(0,00 %)","29,21 %","53,53 %","17,90 €","1.015(0,13 %)","150(0,13 %)","0,47 €","2,38 %","2,06 €","0,17 %","3,41",1,"81(0,09 %)","1.160(0,11 %)"
20180127,"190(0,09 %)","1,33 %","14.276(0,09 %)","16,64 %","0,71 %","4(0,03 %)",0:01:39,"119,86 €(0,02 %)","1,97 %","4,92 %","0,98 %","0(0,00 %)","33,23 %","51,50 %","19,98 €","349(0,05 %)","30(0,03 %)","0,21 €","1,97 %","0,63 €","0,00 %",3,1,"43(0,05 %)","565(0,05 %)"
20180126,"206(0,10 %)","1,26 %","16.338(0,10 %)","19,53 %","1,62 %","11(0,07 %)",0:01:36,"249,46 €(0,05 %)","2,50 %","5,60 %","1,87 %","0(0,00 %)","31,26 %","53,74 %","18,86 €","497(0,06 %)","45(0,04 %)","0,37 €","2,50 %","1,21 €","0,59 %","3,17",1,"49(0,05 %)","681(0,07 %)"
20180125,"284(0,13 %)","1,33 %","21.411(0,13 %)","15,57 %","0,45 %","4(0,03 %)",0:02:03,"281,66 €(0,06 %)","2,22 %","8,56 %","0,65 %","0(0,00 %)","34,80 %","55,91 %","25,61 €","544(0,07 %)","94(0,08 %)","0,32 €","2,22 %","0,99 €","0,23 %","2,87","1,83","62(0,07 %)","880(0,08 %)"
20180124,"292(0,14 %)","1,42 %","20.610(0,13 %)","13,38 %","2,42 %","21(0,14 %)",0:01:46,"517,83 €(0,10 %)","1,88 %","10,74 %","4,00 %","0(0,00 %)","33,98 %","55,59 %","15,83 €","518(0,07 %)","86(0,08 %)","0,60 €","1,88 %","1,77 €","0,23 %","2,89",1,"109(0,12 %)","867(0,08 %)"
20180123,"257(0,12 %)","1,44 %","17.848(0,11 %)","16,67 %","1,58 %","11(0,07 %)",0:02:30,"186,77 €(0,04 %)","2,42 %","13,02 %","1,52 %","0(0,00 %)","30,74 %","50,14 %","14,04 €","490(0,06 %)","101(0,09 %)","0,27 €","2,42 %","0,73 €","0,86 %","3,21","1,18","90(0,10 %)","696(0,07 %)"
20180122,"223(0,10 %)","1,27 %","17.588(0,11 %)","14,07 %","0,56 %","6(0,04 %)",0:02:22,"285,62 €(0,06 %)","2,46 %","11,27 %","0,98 %","0(0,00 %)","30,45 %","55,63 %","25,77 €","824(0,11 %)","135(0,12 %)","0,27 €","2,46 %","1,28 €","1,22 %","3,27",1,"233(0,25 %)","1.066(0,10 %)"
20180121,"258(0,12 %)","1,30 %","19.844(0,12 %)","10,46 %","1,49 %","19(0,13 %)",0:02:24,"588,44 €(0,12 %)","2,26 %","11,83 %","2,15 %","0(0,00 %)","29,55 %","49,69 %","15,03 €","1.118(0,14 %)","184(0,17 %)","0,46 €","2,26 %","2,28 €","0,71 %","3,37","1,22","116(0,13 %)","1.272(0,12 %)"
20180120,"188(0,09 %)","1,27 %","14.751(0,09 %)","16,16 %","0,91 %","6(0,04 %)",0:02:13,"148,40 €(0,03 %)","2,30 %","5,89 %","1,29 %","0(0,00 %)","33,38 %","49,09 %","16,25 €","396(0,05 %)","41(0,04 %)","0,22 €","2,30 %","0,79 €","0,60 %","2,97",1,"54(0,06 %)","662(0,06 %)"
