Dates,Clics,Ctr,Impressions,Bounces,Cr,Transactions,Av.session duration,Revenue,Ctr products list,Cart/details rate,Purchase / details rate,refunds,Exits ,New sessions,Av product price,Clics product list,Num.of products added to cart,Session value,Products list Ctr,Rpc,Session inclueded searches,Page/session,Av.number of product sold per transaction,Num.of times product included in a cart during the purchase process,Sessions
20161128,"273(0,13 %)","1,69 %","16.197(0,10 %)","10,58 %","3,39 %","41(0,27 %)",0:03:15,"1.243,81 €(0,25 %)","3,45 %","21,51 %","4,42 %","0(0,00 %)","24,04 %","45,87 %","17,99 €","1.126(0,15 %)","330(0,30 %)","1,03 €","3,45 %","4,56 €","0,50 %","4,13","1,05","349(0,38 %)","1.210(0,12 %)"
20161127,"252(0,12 %)","1,76 %","14.326(0,09 %)","9,16 %","2,35 %","28(0,19 %)",0:03:09,"732,39 €(0,15 %)","3,48 %","13,22 %","2,28 %","0(0,00 %)","24,63 %","58,49 %","21,48 €","1.023(0,13 %)","199(0,18 %)","0,62 €","3,48 %","2,91 €","0,34 %","4,06",1,"191(0,21 %)","1.190(0,11 %)"
20161126,"317(0,15 %)","1,70 %","18.695(0,12 %)","8,68 %","1,47 %","21(0,14 %)",0:03:02,"598,46 €(0,12 %)","3,19 %","9,65 %","2,08 %","0(0,00 %)","23,07 %","59,66 %","16,45 €","1.180(0,15 %)","180(0,16 %)","0,42 €","3,19 %","1,89 €","0,63 %","4,31",1,"135(0,15 %)","1.428(0,14 %)"
20161125,"427(0,20 %)","1,97 %","21.722(0,14 %)","9,29 %","1,66 %","36(0,24 %)",0:02:39,"1.301,39 €(0,26 %)","3,07 %","13,91 %","2,57 %","0(0,00 %)","23,55 %","60,10 %","18,24 €","1.826(0,24 %)","368(0,33 %)","0,60 €","3,07 %","3,05 €","1,20 %","4,23","1,11","265(0,29 %)","2.163(0,21 %)"
20161124,"395(0,19 %)","1,63 %","24.267(0,15 %)","8,71 %","1,30 %","32(0,21 %)",0:02:52,"982,38 €(0,20 %)","3,02 %","11,02 %","1,82 %","0(0,00 %)","22,52 %","54,52 %","17,88 €","2.128(0,28 %)","390(0,35 %)","0,40 €","3,02 %","2,49 €","0,69 %","4,41","1,06","188(0,20 %)","2.458(0,24 %)"
20161123,"383(0,18 %)","1,68 %","22.742(0,14 %)","8,15 %","1,78 %","41(0,27 %)",0:03:03,"992,19 €(0,20 %)","3,57 %","14,53 %","1,96 %","0(0,00 %)","22,42 %","52,39 %","18,52 €","2.308(0,30 %)","422(0,38 %)","0,43 €","3,57 %","2,59 €","0,56 %","4,45",1,"253(0,27 %)","2.306(0,22 %)"
20161122,"149(0,07 %)","1,22 %","12.229(0,08 %)","10,93 %","2,66 %","47(0,31 %)",0:03:21,"2.005,51 €(0,40 %)","3,26 %","20,13 %","5,04 %","0(0,00 %)","23,64 %","43,04 %","18,85 €","1.709(0,22 %)","475(0,43 %)","1,14 €","3,26 %","13,46 €","0,51 %","4,19","1,08","726(0,78 %)","1.766(0,17 %)"
20161121,"153(0,07 %)","1,11 %","13.832(0,09 %)","14,10 %","1,16 %","9(0,06 %)",0:02:24,"418,91 €(0,08 %)","2,73 %","9,04 %","1,76 %","0(0,00 %)","30,05 %","57,57 %","27,78 €","460(0,06 %)","86(0,08 %)","0,54 €","2,73 %","2,74 €","1,42 %","3,31",1,"58(0,06 %)","773(0,07 %)"
20161120,"176(0,08 %)","1,11 %","15.830(0,10 %)","13,19 %","1,47 %","9(0,06 %)",0:02:11,"213,58 €(0,04 %)","2,87 %","4,93 %","1,69 %","0(0,00 %)","31,41 %","56,19 %","19,42 €","373(0,05 %)","32(0,03 %)","0,35 €","2,87 %","1,21 €","0,65 %","3,16",1,"21(0,02 %)","614(0,06 %)"
20161119,"141(0,07 %)","1,00 %","14.083(0,09 %)","13,65 %","1,15 %","6(0,04 %)",0:02:03,"149,56 €(0,03 %)","3,29 %","6,58 %","0,96 %","0(0,00 %)","32,97 %","54,81 %","26,35 €","280(0,04 %)","45(0,04 %)","0,29 €","3,29 %","1,06 €","1,15 %",3,1,"21(0,02 %)","520(0,05 %)"
20161118,"147(0,07 %)","1,22 %","12.085(0,08 %)","21,87 %","1,94 %","11(0,07 %)",0:02:00,"301,25 €(0,06 %)","2,55 %","6,75 %","1,90 %","0(0,00 %)","33,00 %","51,68 %","23,01 €","283(0,04 %)","41(0,04 %)","0,53 €","2,55 %","2,05 €","0,71 %","3,01","1,18","19(0,02 %)","567(0,05 %)"
20161117,"155(0,07 %)","1,18 %","13.190(0,08 %)","17,90 %","0,82 %","6(0,04 %)",0:02:28,"401,67 €(0,08 %)","2,98 %","7,98 %","1,97 %","0(0,00 %)","27,02 %","50,55 %","19,13 €","544(0,07 %)","77(0,07 %)","0,55 €","2,98 %","2,59 €","1,23 %","3,67","1,24","58(0,06 %)","732(0,07 %)"
20161116,"245(0,12 %)","1,35 %","18.096(0,11 %)","11,88 %","2,42 %","21(0,14 %)",0:02:08,"3.817,41 €(0,77 %)","3,66 %","20,35 %","11,00 %","0(0,00 %)","25,97 %","58,25 %","28,26 €","726(0,09 %)","244(0,22 %)","4,40 €","3,66 %","15,58 €","0,00 %","3,85","1,07","550(0,59 %)","867(0,08 %)"
20161115,"246(0,12 %)","1,35 %","18.243(0,11 %)","13,72 %","1,69 %","15(0,10 %)",0:02:15,"385,64 €(0,08 %)","2,71 %","6,20 %","2,24 %","0(0,00 %)","27,99 %","53,99 %","17,45 €","548(0,07 %)","58(0,05 %)","0,43 €","2,71 %","1,57 €","1,24 %","3,52",1,"47(0,05 %)","889(0,09 %)"
20161114,"280(0,13 %)","1,42 %","19.677(0,12 %)","12,63 %","1,50 %","15(0,10 %)",0:02:03,"1.491,95 €(0,30 %)","3,53 %","11,57 %","4,25 %","0(0,00 %)","27,71 %","57,11 %","27,35 €","796(0,10 %)","143(0,13 %)","1,49 €","3,53 %","5,33 €","1,10 %","3,61","1,06","133(0,14 %)","998(0,10 %)"
20161113,"259(0,12 %)","1,60 %","16.192(0,10 %)","12,54 %","2,49 %","28(0,19 %)",0:01:49,"1.812,84 €(0,36 %)","3,73 %","14,35 %","6,17 %","0(0,00 %)","30,50 %","44,93 %","24,11 €","816(0,11 %)","169(0,15 %)","1,61 €","3,73 %","7,00 €","0,80 %","3,26","1,06","158(0,17 %)","1.124(0,11 %)"
20161112,"216(0,10 %)","1,42 %","15.256(0,10 %)","15,31 %","1,72 %","11(0,07 %)",0:01:41,"495,54 €(0,10 %)","3,47 %","7,24 %","2,98 %","0(0,00 %)","31,77 %","57,50 %","24,01 €","415(0,05 %)","51(0,05 %)","0,77 €","3,47 %","2,29 €","0,31 %","3,14",1,"58(0,06 %)","640(0,06 %)"
20161111,"244(0,11 %)","1,35 %","18.050(0,11 %)","15,09 %","1,29 %","9(0,06 %)",0:02:13,"204,48 €(0,04 %)","3,06 %","10,16 %","1,19 %","0(0,00 %)","28,17 %","59,63 %","23,03 €","462(0,06 %)","79(0,07 %)","0,29 €","3,06 %","0,84 €","0,00 %","3,54",1,"34(0,04 %)","696(0,07 %)"
20161110,"330(0,16 %)","1,68 %","19.625(0,12 %)","12,81 %","1,22 %","17(0,11 %)",0:02:22,"576,82 €(0,12 %)","3,36 %","8,45 %","1,39 %","0(0,00 %)","27,95 %","59,78 %","21,94 €","1.038(0,13 %)","139(0,13 %)","0,41 €","3,36 %","1,75 €","0,43 %","3,51","1,24","124(0,13 %)","1.390(0,13 %)"
20161109,"405(0,19 %)","1,38 %","29.278(0,18 %)","12,47 %","1,45 %","26(0,17 %)",0:02:29,"822,51 €(0,17 %)","3,93 %","8,09 %","1,92 %","0(0,00 %)","25,18 %","59,17 %","20,17 €","1.689(0,22 %)","178(0,16 %)","0,46 €","3,93 %","2,03 €","0,73 %","3,94",1,"156(0,17 %)","1.788(0,17 %)"
20161108,"403(0,19 %)","1,34 %","30.050(0,19 %)","9,00 %","1,00 %","19(0,13 %)",0:02:16,"622,44 €(0,13 %)","3,97 %","6,27 %","1,35 %","0(0,00 %)","26,68 %","60,60 %","20,68 €","1.676(0,22 %)","139(0,13 %)","0,33 €","3,97 %","1,54 €","0,58 %","3,73",1,"137(0,15 %)","1.901(0,18 %)"
20161107,"451(0,21 %)","1,50 %","30.081(0,19 %)","12,70 %","1,58 %","24(0,16 %)",0:02:15,"573,82 €(0,12 %)","2,88 %","8,35 %","2,57 %","0(0,00 %)","28,68 %","55,66 %","13,25 €","1.002(0,13 %)","143(0,13 %)","0,38 €","2,88 %","1,27 €","0,26 %","3,45","1,05","109(0,12 %)","1.520(0,15 %)"
20161106,"457(0,22 %)","1,53 %","29.966(0,19 %)","12,89 %","1,42 %","19(0,13 %)",0:02:11,"579,06 €(0,12 %)","3,12 %","9,57 %","1,51 %","0(0,00 %)","28,99 %","51,71 %","23,41 €","835(0,11 %)","158(0,14 %)","0,43 €","3,12 %","1,27 €","0,30 %","3,45",1,"116(0,13 %)","1.342(0,13 %)"
20161105,"425(0,20 %)","1,39 %","30.625(0,19 %)","16,15 %","0,66 %","6(0,04 %)",0:01:58,"175,25 €(0,04 %)","3,12 %","5,92 %","0,52 %","0(0,00 %)","26,87 %","54,76 %","29,21 €","627(0,08 %)","69(0,06 %)","0,19 €","3,12 %","0,41 €","0,00 %","3,72",1,"36(0,04 %)","904(0,09 %)"
20161104,"414(0,19 %)","1,40 %","29.622(0,18 %)","16,85 %","0,37 %","4(0,03 %)",0:02:17,"135,85 €(0,03 %)","2,92 %","9,50 %","1,81 %","0(0,00 %)","30,43 %","52,20 %","5,66 €","657(0,09 %)","126(0,11 %)","0,12 €","2,92 %","0,33 €","1,01 %","3,26",1,"98(0,11 %)","1.092(0,10 %)"
20161103,"389(0,18 %)","1,30 %","29.918(0,19 %)","11,81 %","1,32 %","17(0,11 %)",0:02:25,"611,07 €(0,12 %)","2,86 %","7,56 %","1,39 %","0(0,00 %)","28,25 %","55,56 %","23,26 €","957(0,12 %)","152(0,14 %)","0,47 €","2,86 %","1,57 €","0,31 %","3,53","1,08","69(0,07 %)","1.287(0,12 %)"
20161102,"398(0,19 %)","1,32 %","30.175(0,19 %)","10,51 %","1,12 %","15(0,10 %)",0:02:38,"648,78 €(0,13 %)","3,22 %","8,87 %","1,50 %","0(0,00 %)","26,94 %","58,27 %","25,23 €","1.030(0,13 %)","158(0,14 %)","0,48 €","3,22 %","1,63 €","0,15 %","3,69",1,"131(0,14 %)","1.342(0,13 %)"
20161101,"447(0,21 %)","1,46 %","30.547(0,19 %)","10,31 %","1,34 %","17(0,11 %)",0:02:10,"635,59 €(0,13 %)","2,81 %","6,39 %","1,96 %","0(0,00 %)","28,23 %","56,85 %","21,11 €","869(0,11 %)","105(0,09 %)","0,50 €","2,81 %","1,42 €","0,31 %","3,53",1,"66(0,07 %)","1.270(0,12 %)"
20161031,"306(0,14 %)","1,41 %","21.630(0,13 %)","13,53 %","1,76 %","19(0,13 %)",0:02:11,"729,97 €(0,15 %)","3,19 %","8,68 %","2,54 %","0(0,00 %)","28,36 %","51,62 %","20,10 €","809(0,10 %)","118(0,11 %)","0,68 €","3,19 %","2,39 €","0,00 %","3,51","1,06","107(0,12 %)","1.079(0,10 %)"
20161030,"388(0,18 %)","1,55 %","25.054(0,16 %)","10,99 %","1,23 %","17(0,11 %)",0:02:26,"547,93 €(0,11 %)","2,97 %","9,08 %","1,27 %","0(0,00 %)","28,57 %","46,42 %","22,74 €","970(0,13 %)","176(0,16 %)","0,40 €","2,97 %","1,41 €","0,65 %","3,49",1,"163(0,18 %)","1.383(0,13 %)"
20161029,"316(0,15 %)","1,46 %","21.600(0,13 %)","13,19 %","0,55 %","4(0,03 %)",0:02:15,"181,91 €(0,04 %)","3,08 %","14,08 %","0,70 %","0(0,00 %)","28,75 %","54,12 %","32,78 €","488(0,06 %)","139(0,13 %)","0,25 €","3,08 %","0,58 €","0,27 %","3,46",1,"69(0,07 %)","728(0,07 %)"
20161028,"357(0,17 %)","1,61 %","22.229(0,14 %)","9,34 %","0,48 %","9(0,06 %)",0:02:26,"394,41 €(0,08 %)","2,84 %","11,09 %","0,99 %","0(0,00 %)","26,45 %","69,69 %","20,76 €","1.505(0,19 %)","214(0,19 %)","0,21 €","2,84 %","1,10 €","0,32 %","3,75",1,"92(0,10 %)","1.884(0,18 %)"
20161027,"375(0,18 %)","1,36 %","27.546(0,17 %)","6,62 %","0,68 %","28(0,19 %)",0:02:36,"1.067,34 €(0,21 %)","2,71 %","13,67 %","1,63 %","2(1,65 %)","26,97 %","77,35 %","17,61 €","3.173(0,41 %)","533(0,48 %)","0,26 €","2,71 %","2,85 €","0,46 %","3,68","1,03","238(0,26 %)","4.111(0,39 %)"
20161026,"405(0,19 %)","1,74 %","23.254(0,15 %)","7,73 %","0,87 %","28(0,19 %)",0:02:57,"937,06 €(0,19 %)","3,35 %","14,91 %","2,44 %","0(0,00 %)","24,31 %","71,03 %","10,53 €","3.220(0,42 %)","567(0,51 %)","0,29 €","3,35 %","2,31 €","0,47 %","4,08","1,02","289(0,31 %)","3.210(0,31 %)"
20161025,"564(0,27 %)","1,79 %","31.499(0,20 %)","7,48 %","0,85 %","36(0,24 %)",0:02:32,"1.407,25 €(0,28 %)","3,03 %","14,96 %","2,15 %","0(0,00 %)","27,53 %","74,07 %","15,65 €","3.561(0,46 %)","629(0,57 %)","0,33 €","3,03 %","2,50 €","0,14 %","3,6","1,02","381(0,41 %)","4.212(0,40 %)"
20161024,"539(0,25 %)","1,67 %","32.320(0,20 %)","7,38 %","1,09 %","36(0,24 %)",0:02:34,"1.244,31 €(0,25 %)","3,36 %","15,08 %","2,05 %","0(0,00 %)","26,88 %","61,86 %","16,05 €","3.098(0,40 %)","617(0,56 %)","0,38 €","3,36 %","2,31 €","0,39 %","3,7",1,"246(0,27 %)","3.306(0,32 %)"
20161023,"510(0,24 %)","1,68 %","30.429(0,19 %)","10,41 %","0,72 %","11(0,07 %)",0:02:07,"291,53 €(0,06 %)","3,22 %","11,73 %","0,79 %","0(0,00 %)","29,91 %","50,79 %","19,29 €","1.028(0,13 %)","280(0,25 %)","0,19 €","3,22 %","0,57 €","0,40 %","3,33",1,"118(0,13 %)","1.518(0,15 %)"
20161022,"416(0,20 %)","1,46 %","28.501(0,18 %)","11,24 %","0,44 %","4(0,03 %)",0:01:57,"123,97 €(0,02 %)","2,57 %","3,97 %","0,39 %","0(0,00 %)","29,83 %","60,04 %","30,99 €","499(0,06 %)","43(0,04 %)","0,14 €","2,57 %","0,30 €","0,44 %","3,34",1,"32(0,03 %)","916(0,09 %)"
20161021,"435(0,20 %)","1,65 %","26.300(0,16 %)","8,85 %","1,54 %","19(0,13 %)",0:02:30,"624,03 €(0,13 %)","2,77 %","7,47 %","1,42 %","0(0,00 %)","27,34 %","57,92 %","26,36 €","818(0,11 %)","131(0,12 %)","0,51 €","2,77 %","1,43 €","0,49 %","3,65",1,"98(0,11 %)","1.231(0,12 %)"
20161020,"496(0,23 %)","1,53 %","32.484(0,20 %)","9,52 %","1,97 %","26(0,17 %)",0:02:13,"1.035,14 €(0,21 %)","3,35 %","8,70 %","2,32 %","0(0,00 %)","27,58 %","54,57 %","24,88 €","959(0,12 %)","158(0,14 %)","0,78 €","3,35 %","2,09 €","0,00 %","3,62",1,"141(0,15 %)","1.323(0,13 %)"
20161019,"492(0,23 %)","1,50 %","32.868(0,21 %)","11,84 %","1,40 %","19(0,13 %)",0:02:07,"540,52 €(0,11 %)","3,67 %","9,02 %","1,09 %","6(4,96 %)","29,61 %","53,82 %","22,88 €","985(0,13 %)","161(0,14 %)","0,40 €","3,67 %","1,10 €","0,29 %","3,35","1,26","186(0,20 %)","1.360(0,13 %)"
20161018,"457(0,22 %)","1,58 %","28.864(0,18 %)","9,71 %","3,04 %","41(0,27 %)",0:02:39,"1.906,25 €(0,38 %)","2,88 %","10,98 %","4,10 %","0(0,00 %)","25,14 %","53,67 %","24,10 €","987(0,13 %)","210(0,19 %)","1,41 €","2,88 %","4,17 €","0,96 %","3,95","1,05","221(0,24 %)","1.349(0,13 %)"
20161017,"432(0,20 %)","1,78 %","24.239(0,15 %)","10,98 %","2,29 %","34(0,22 %)",0:02:46,"1.069,38 €(0,22 %)","2,93 %","11,42 %","2,81 %","0(0,00 %)","27,45 %","53,84 %","22,13 €","1.047(0,14 %)","201(0,18 %)","0,72 €","2,93 %","2,48 €","0,74 %","3,62",1,"240(0,26 %)","1.484(0,14 %)"
20161016,"322(0,15 %)","1,55 %","20.813(0,13 %)","9,34 %","1,08 %","24(0,16 %)",0:02:48,"941,68 €(0,19 %)","3,09 %","6,51 %","1,66 %","0(0,00 %)","25,82 %","59,72 %","21,90 €","1.871(0,24 %)","184(0,17 %)","0,42 €","3,09 %","2,92 €","0,67 %","3,84",1,"105(0,11 %)","2.227(0,21 %)"
20161015,"260(0,12 %)","1,40 %","18.533(0,12 %)","7,45 %","0,79 %","15(0,10 %)",0:02:43,"520,50 €(0,10 %)","3,23 %","9,30 %","0,91 %","0(0,00 %)","25,51 %","70,47 %","27,06 €","1.602(0,21 %)","201(0,18 %)","0,27 €","3,23 %","2,00 €","0,48 %","3,89",1,"86(0,09 %)","1.893(0,18 %)"
20161014,"295(0,14 %)","1,56 %","18.929(0,12 %)","7,39 %","0,62 %","13(0,09 %)",0:02:37,"553,37 €(0,11 %)","3,03 %","9,16 %","1,12 %","0(0,00 %)","24,79 %","71,56 %","23,06 €","1.839(0,24 %)","197(0,18 %)","0,27 €","3,03 %","1,88 €","1,25 %",4,1,"173(0,19 %)","2.085(0,20 %)"
20161013,"293(0,14 %)","1,38 %","21.249(0,13 %)","9,43 %","1,34 %","28(0,19 %)",0:02:54,"1.160,44 €(0,23 %)","3,27 %","9,57 %","2,28 %","0(0,00 %)","23,70 %","60,11 %","21,37 €","2.049(0,27 %)","227(0,20 %)","0,56 €","3,27 %","3,96 €","1,01 %","4,18",1,"182(0,20 %)","2.088(0,20 %)"
20161012,"293(0,14 %)","1,47 %","19.999(0,12 %)","7,04 %","1,72 %","34(0,22 %)",0:02:44,"2.094,33 €(0,42 %)","2,96 %","10,43 %","3,63 %","0(0,00 %)","24,51 %","60,74 %","25,79 €","1.775(0,23 %)","244(0,22 %)","1,06 €","2,96 %","7,15 €","0,56 %","4,07",1,"272(0,29 %)","1.974(0,19 %)"
20161011,"318(0,15 %)","1,65 %","19.224(0,12 %)","11,49 %","1,07 %","13(0,09 %)",0:02:23,"465,69 €(0,09 %)","2,87 %","11,19 %","1,64 %","0(0,00 %)","27,27 %","59,42 %","21,97 €","816(0,11 %)","143(0,13 %)","0,38 €","2,87 %","1,46 €","0,50 %","3,65",1,"158(0,17 %)","1.210(0,12 %)"
20161010,"308(0,14 %)","1,53 %","20.140(0,13 %)","13,17 %","2,26 %","28(0,19 %)",0:02:52,"972,17 €(0,20 %)","3,12 %","9,95 %","2,65 %","0(0,00 %)","25,80 %","53,96 %","23,71 €","1.047(0,14 %)","161(0,14 %)","0,79 €","3,12 %","3,16 €","0,48 %","3,85",1,"161(0,17 %)","1.238(0,12 %)"
20161009,"240(0,11 %)","1,49 %","16.109(0,10 %)","13,77 %","1,50 %","21(0,14 %)",0:02:41,"1.376,20 €(0,28 %)","3,07 %","10,71 %","3,18 %","0(0,00 %)","26,08 %","53,28 %","25,37 €","1.126(0,15 %)","182(0,16 %)","0,98 €","3,07 %","5,73 €","0,29 %","3,82",1,"173(0,19 %)","1.402(0,13 %)"
20161008,"206(0,10 %)","1,39 %","14.773(0,09 %)","11,51 %","1,56 %","11(0,07 %)",0:02:48,"353,35 €(0,07 %)","3,42 %","10,55 %","1,54 %","0(0,00 %)","24,89 %","59,38 %","23,30 €","657(0,09 %)","109(0,10 %)","0,50 €","3,42 %","1,72 €","0,28 %","4,01",1,"66(0,07 %)","704(0,07 %)"
20161007,"218(0,10 %)","1,36 %","16.072(0,10 %)","10,12 %","2,00 %","17(0,11 %)",0:02:47,"1.627,50 €(0,33 %)","3,28 %","15,53 %","6,60 %","0(0,00 %)","27,24 %","55,65 %","25,43 €","655(0,08 %)","150(0,13 %)","1,91 €","3,28 %","7,47 €","0,71 %","3,64","1,03","246(0,27 %)","850(0,08 %)"
20161006,"228(0,11 %)","1,21 %","18.898(0,12 %)","11,18 %","1,19 %","15(0,10 %)",0:02:15,"415,74 €(0,08 %)","2,96 %","6,58 %","1,28 %","0(0,00 %)","28,34 %","58,60 %","21,54 €","934(0,12 %)","98(0,09 %)","0,33 €","2,96 %","1,82 €","0,32 %","3,52",1,"69(0,07 %)","1.261(0,12 %)"
20161005,"265(0,12 %)","1,61 %","16.456(0,10 %)","8,93 %","0,98 %","13(0,09 %)",0:02:39,"339,79 €(0,07 %)","2,83 %","7,28 %","0,74 %","0(0,00 %)","25,28 %","55,26 %","26,14 €","1.030(0,13 %)","128(0,12 %)","0,26 €","2,83 %","1,28 €","0,45 %","3,92",1,"154(0,17 %)","1.321(0,13 %)"
20161004,"265(0,12 %)","1,60 %","16.536(0,10 %)","9,38 %","0,64 %","9(0,06 %)",0:02:20,"318,49 €(0,06 %)","2,63 %","5,82 %","0,60 %","0(0,00 %)","27,73 %","63,47 %","27,79 €","936(0,12 %)","107(0,10 %)","0,23 €","2,63 %","1,20 €","0,93 %","3,59",1,"103(0,11 %)","1.396(0,13 %)"
20161003,"257(0,12 %)","1,46 %","17.652(0,11 %)","11,76 %","1,24 %","19(0,13 %)",0:02:27,"532,07 €(0,11 %)","2,59 %","7,09 %","1,04 %","0(0,00 %)","28,22 %","53,95 %","24,93 €","1.038(0,13 %)","143(0,13 %)","0,35 €","2,59 %","2,07 €","0,00 %","3,53",1,"128(0,14 %)","1.531(0,15 %)"
20161002,"266(0,13 %)","1,68 %","15.863(0,10 %)","9,67 %","1,54 %","17(0,11 %)",0:02:49,"501,66 €(0,10 %)","2,69 %","7,33 %","1,75 %","0(0,00 %)","25,93 %","52,39 %","16,58 €","884(0,11 %)","120(0,11 %)","0,45 €","2,69 %","1,89 €","0,54 %","3,86","1,15","84(0,09 %)","1.107(0,11 %)"
20161001,"218(0,10 %)","1,70 %","12.820(0,08 %)","13,79 %","1,87 %","13(0,09 %)",0:02:15,"742,43 €(0,15 %)","2,83 %","14,22 %","6,40 %","0(0,00 %)","27,97 %","56,61 %","13,15 €","486(0,06 %)","122(0,11 %)","1,07 €","2,83 %","3,41 €","0,86 %","3,53",1,"62(0,07 %)","696(0,07 %)"
20160930,"229(0,11 %)","1,93 %","11.850(0,07 %)","12,47 %","2,30 %","19(0,13 %)",0:02:32,"1.243,58 €(0,25 %)","2,96 %","8,70 %","6,38 %","0(0,00 %)","25,18 %","58,60 %","18,02 €","726(0,09 %)","92(0,08 %)","1,51 €","2,96 %","5,43 €","0,24 %","3,94","1,05","71(0,08 %)","826(0,08 %)"
20160929,"222(0,10 %)","1,79 %","12.388(0,08 %)","12,43 %","0,37 %","4(0,03 %)",0:02:10,"151,70 €(0,03 %)","2,68 %","5,57 %","0,56 %","0(0,00 %)","27,90 %","54,24 %","25,28 €","758(0,10 %)","60(0,05 %)","0,14 €","2,68 %","0,68 €","0,37 %","3,56",1,"21(0,02 %)","1.086(0,10 %)"
20160928,"255(0,12 %)","1,93 %","13.228(0,08 %)","10,63 %","2,01 %","28(0,19 %)",0:02:47,"1.029,66 €(0,21 %)","2,54 %","9,57 %","2,69 %","0(0,00 %)","26,30 %","61,49 %","21,41 €","1.011(0,13 %)","169(0,15 %)","0,74 €","2,54 %","4,04 €","0,14 %","3,79",1,"109(0,12 %)","1.392(0,13 %)"
20160927,"249(0,12 %)","1,74 %","14.302(0,09 %)","8,26 %","1,59 %","26(0,17 %)",0:02:27,"1.132,05 €(0,23 %)","2,46 %","6,18 %","2,45 %","0(0,00 %)","27,75 %","65,24 %","19,70 €","1.096(0,14 %)","143(0,13 %)","0,69 €","2,46 %","4,55 €","0,37 %","3,58","1,04","150(0,16 %)","1.634(0,16 %)"
20160926,"226(0,11 %)","1,75 %","12.891(0,08 %)","10,25 %","0,80 %","11(0,07 %)",0:02:27,"472,44 €(0,10 %)","2,40 %","10,47 %","0,76 %","0(0,00 %)","28,83 %","57,02 %","31,07 €","876(0,11 %)","180(0,16 %)","0,34 €","2,40 %","2,09 €","0,65 %","3,44","1,15","141(0,15 %)","1.375(0,13 %)"
20160925,"241(0,11 %)","1,80 %","13.425(0,08 %)","11,78 %","1,28 %","13(0,09 %)",0:02:19,"455,11 €(0,09 %)","2,54 %","5,11 %","2,21 %","0(0,00 %)","29,56 %","58,19 %","17,87 €","629(0,08 %)","62(0,06 %)","0,45 €","2,54 %","1,89 €","0,20 %","3,37",1,"58(0,06 %)","1.019(0,10 %)"
20160924,"206(0,10 %)","1,74 %","11.862(0,07 %)","9,88 %","0,90 %","6(0,04 %)",0:02:54,"175,25 €(0,04 %)","2,86 %","5,66 %","0,69 %","0(0,00 %)","25,50 %","61,83 %","29,21 €","540(0,07 %)","49(0,04 %)","0,26 €","2,86 %","0,85 €","0,60 %","3,9",1,"32(0,03 %)","668(0,06 %)"
20160923,"223(0,10 %)","1,89 %","11.818(0,07 %)","9,42 %","0,49 %","6(0,04 %)",0:02:51,"442,46 €(0,09 %)","2,78 %","9,57 %","1,40 %","0(0,00 %)","27,20 %","66,94 %","23,29 €","946(0,12 %)","118(0,11 %)","0,36 €","2,78 %","1,98 €","0,00 %","3,62","1,12","81(0,09 %)","1.231(0,12 %)"
20160922,"274(0,13 %)","1,90 %","14.420(0,09 %)","9,54 %","0,95 %","21(0,14 %)",0:02:18,"788,46 €(0,16 %)","2,92 %","7,45 %","1,77 %","0(0,00 %)","29,48 %","69,94 %","24,44 €","1.576(0,20 %)","141(0,13 %)","0,35 €","2,92 %","2,88 €","0,27 %","3,38",1,"146(0,16 %)","2.222(0,21 %)"
20160921,"262(0,12 %)","1,95 %","13.469(0,08 %)","7,80 %","0,85 %","21(0,14 %)",0:02:41,"749,71 €(0,15 %)","3,16 %","9,73 %","1,48 %","0(0,00 %)","25,73 %","70,06 %","20,47 €","2.199(0,28 %)","236(0,21 %)","0,30 €","3,16 %","2,86 €","0,24 %","3,88",1,"231(0,25 %)","2.475(0,24 %)"
20160920,"281(0,13 %)","1,80 %","15.574(0,10 %)","10,84 %","0,55 %","11(0,07 %)",0:02:23,"393,22 €(0,08 %)","2,75 %","7,44 %","0,81 %","0(0,00 %)","27,68 %","67,08 %","24,64 €","1.539(0,20 %)","141(0,13 %)","0,20 €","2,75 %","1,40 €","0,30 %","3,58",1,"92(0,10 %)","2.011(0,19 %)"
20160919,"254(0,12 %)","1,80 %","14.114(0,09 %)","9,78 %","2,03 %","32(0,21 %)",0:02:30,"952,49 €(0,19 %)","2,93 %","11,88 %","2,50 %","0(0,00 %)","26,61 %","60,42 %","23,45 €","1.291(0,17 %)","195(0,18 %)","0,61 €","2,93 %","3,75 €","0,38 %","3,74",1,"173(0,19 %)","1.574(0,15 %)"
20160918,"252(0,12 %)","1,92 %","13.091(0,08 %)","11,18 %","1,67 %","21(0,14 %)",0:02:59,"1.258,97 €(0,25 %)","2,59 %","8,73 %","2,74 %","0(0,00 %)","26,64 %","50,75 %","28,83 €","1.073(0,14 %)","143(0,13 %)","1,00 €","2,59 %","5,00 €","0,32 %","3,71",1,"143(0,15 %)","1.261(0,12 %)"
20160917,"223(0,10 %)","2,14 %","10.411(0,06 %)","9,03 %","2,23 %","17(0,11 %)",0:02:29,"630,58 €(0,13 %)","2,31 %","8,21 %","3,24 %","0(0,00 %)","27,54 %","68,72 %","22,90 €","555(0,07 %)","64(0,06 %)","0,83 €","2,31 %","2,83 €","0,26 %","3,61",1,"62(0,07 %)","764(0,07 %)"
